7.29	7.76	0.00	8.19	7.63	0.00	7.10	8.71	10.52	1.48
9.55	8.95	0.00	9.85	22.89	0.00	6.50	8.90	11.45	9.40
4.96	10.00	0.00	9.43	10.22	0.00	9.57	9.22	10.52	9.43
7.41	9.41	0.00	9.41	9.29	0.00	5.77	9.23	11.95	8.14
7.48	9.76	0.00	9.14	5.05	0.00	4.86	9.33	10.38	9.05
8.18	9.50	0.00	9.91	6.59	0.00	14.41	9.45	11.68	8.86
9.77	10.23	0.00	9.95	5.68	0.00	6.86	9.05	11.95	9.77
9.14	9.59	0.00	10.27	15.45	0.00	9.27	8.91	11.55	9.45
9.05	9.05	0.00	10.45	13.18	0.00	4.82	8.95	11.86	9.41
7.90	9.05	0.00	10.05	15.86	0.00	6.05	8.76	10.10	9.57
7.45	9.36	0.00	9.86	14.73	0.00	8.73	8.77	10.50	9.91
6.74	9.70	0.00	9.61	11.86	0.00	8.04	9.61	11.78	10.09
9.38	9.19	0.00	9.90	7.35	0.00	11.62	9.43	7.05	9.76
9.57	9.24	0.00	9.19	6.19	0.00	5.43	14.29	0.00	10.05
9.00	8.87	0.00	9.78	7.30	0.00	7.09	8.91	0.00	9.65
8.45	8.55	0.00	9.40	8.25	0.00	8.85	7.60	0.50	9.25
9.43	8.74	0.00	9.52	8.55	0.00	9.05	8.70	0.09	8.74
9.91	8.86	0.00	9.73	14.52	0.00	6.41	8.00	0.05	8.41
9.24	8.57	1.97	9.38	18.48	0.00	6.48	7.86	0.00	8.05
9.04	8.26	2.50	8.35	16.27	0.00	5.48	7.96	0.00	7.83
9.38	7.95	2.50	8.62	15.24	0.00	6.90	7.76	0.00	7.71
8.82	7.59	3.13	8.27	12.18	0.00	6.27	7.09	0.00	7.41
8.64	7.00	0.00	7.50	10.23	0.00	5.91	6.23	0.00	7.68
6.19	7.14	0.00	7.10	10.48	0.00	5.32	5.70	0.00	6.90
9.39	6.87	1.95	6.96	7.46	0.00	4.68	5.78	0.00	7.13
8.15	7.55	0.00	6.80	0.40	0.00	6.40	6.00	0.10	7.70
7.64	6.95	0.00	6.45	1.05	0.00	6.09	6.86	3.36	7.36
5.19	7.00	0.00	2.24	0.00	0.00	0.57	6.05	9.43	7.24
9.35	7.43	0.00	0.26	1.87	0.00	5.52	6.39	8.87	7.78
8.24	7.29	1.66	0.00	2.71	0.00	6.19	7.14	8.43	7.57
8.95	7.36	0.00	0.00	3.55	0.00	6.64	6.64	8.32	7.14
8.22	7.43	0.00	0.09	1.43	0.00	11.13	6.48	7.61	7.22
8.40	6.70	0.40	0.00	1.35	0.00	5.25	6.60	8.35	6.65
7.87	7.26	3.98	5.35	1.78	0.00	5.87	6.48	8.22	6.83
4.45	6.27	0.00	6.23	0.73	0.00	5.45	6.95	7.32	6.73
10.14	8.62	0.00	7.81	0.00	0.00	5.71	7.76	7.48	6.95
8.74	8.61	0.00	8.43	8.30	0.00	6.61	10.09	10.00	8.87
8.05	8.55	0.00	6.90	16.25	1.70	6.25	7.30	9.45	7.45
8.71	7.57	0.00	7.33	10.14	0.81	5.95	7.10	8.00	4.01
7.14	6.27	4.05	6.64	13.55	6.77	5.77	7.27	7.82	0.24
9.22	6.43	3.22	6.35	10.04	2.35	5.52	7.65	7.83	0.04
8.80	5.90	4.20	6.10	10.45	7.55	5.65	7.70	8.25	0.00
7.65	6.83	6.09	5.39	8.74	8.39	5.48	6.00	7.61	0.00
7.00	6.05	6.27	5.59	7.68	9.27	5.77	5.95	7.68	0.05
7.33	6.48	8.38	6.95	8.90	0.76	5.43	5.52	7.38	0.00
7.61	6.17	8.65	6.96	7.26	1.69	5.74	6.00	7.35	0.00
7.62	5.52	8.10	6.62	5.43	1.10	5.81	5.71	7.86	0.05
7.32	5.73	6.36	6.05	6.85	0.00	5.09	5.00	7.14	0.45
7.43	7.00	8.36	5.42	7.01	4.96	5.61	5.17	6.79	0.32
7.15	7.25	8.15	5.20	6.30	1.59	5.20	5.70	7.10	0.00
7.05	7.29	8.14	10.76	7.10	0.00	5.10	5.67	7.76	0.01
7.18	7.23	5.82	7.36	6.77	7.23	4.55	5.18	7.59	1.55
7.09	7.18	8.86	6.27	6.18	6.81	4.95	5.77	8.73	5.05
7.71	7.95	7.62	5.62	7.86	2.12	5.48	5.86	9.33	5.05
7.26	7.09	9.65	6.04	8.04	6.94	5.43	5.65	9.00	4.96
6.48	6.57	8.38	6.76	7.14	5.47	5.48	5.67	8.81	5.00
7.27	7.09	8.09	6.36	7.55	6.46	5.27	5.82	8.68	5.05
6.09	7.96	7.87	6.57	6.48	5.44	5.17	6.52	7.70	5.09
5.50	6.50	6.65	5.55	6.40	0.00	4.70	5.20	7.45	4.60
6.00	7.48	5.22	4.17	7.00	11.91	3.87	6.00	7.70	2.65
8.95	6.64	7.00	4.36	6.50	5.90	4.91	5.23	7.00	3.95
11.80	6.40	6.80	4.95	7.70	12.50	4.65	6.10	8.95	4.95
10.14	5.45	6.18	5.95	6.86	0.00	5.18	8.41	6.82	5.45
10.00	5.00	5.23	7.36	6.82	0.00	4.36	0.00	5.95	5.23
